ver,tag,name,checked_jst,pol_best_rank,pol_best_trophies,pol_best_league,gt_best_rank,gt_badge,ladder_best_rank,ladder_badge,rank_badges,exp_level,trophies,best_trophies,battle_count,wins,losses
4,#20CCRQ08U,CoLoco,2026-08-08 10:52:45,,0,8,,,,,,75,14000,14000,13388,6640,6748
4,#20V20RCR2L,Lelouch,2026-08-08 10:52:45,,0,5,,,,,,71,14000,14000,10405,5182,5223
4,#22UJPRJGG,☠Picconi☠,2026-08-08 10:52:40,,1668,10,,,,,,81,14000,14000,33189,17611,15578
4,#2GJ2U28V0,diego,2026-08-08 10:52:28,,1421,7,,,,,,70,14000,14000,23551,12813,10738
4,#2GL8RLCGV,chris,2026-08-08 10:52:39,,0,6,,,,,,65,14000,14000,7281,4064,3217
4,#2Q0L99CJL,Follilton,2026-08-08 10:52:37,,1681,10,,,,,,75,14000,14000,24608,13373,11235
4,#2Q2L9RQ2Y,bladi,2026-08-08 10:52:41,,1680,10,,,,,,80,14000,14000,39805,20320,19485
4,#2QG9P22V,Armando,2026-08-08 10:52:35,,1651,10,,,,,,74,14000,14000,20781,11768,9013
4,#2RJ8YYYU2,THE BEAST,2026-08-08 10:52:48,,0,7,,,,,,73,14000,14000,21872,11934,9938
4,#2VVQJRYYV,luffyesp,2026-08-08 10:52:33,,0,8,,,,,,69,14000,14000,17919,8718,9201
4,#2YY2PY9Y,!!DESTAJADOR!!,2026-08-08 10:52:43,,0,6,,,,,,58,14000,14000,7277,3694,3583
4,#88YLLYUR,etp3,2026-08-08 10:52:31,,0,5,,,,,,58,14000,14000,7913,4320,3593
4,#8CCUQRVR2,ProstataPaul,2026-08-08 10:52:50,,2127,10,,,,,,82,14000,14000,65916,35635,30281
4,#8GUYVLRCP,Jimmi pan,2026-08-08 10:52:30,,1624,10,,,,,,84,14000,14000,31066,15786,15280
4,#8P0292JUR,@_@,2026-08-08 10:52:32,,0,5,,,,,,57,13183,13183,21815,10959,10856
4,#8YPPL982V,Nirvana,2026-08-08 10:52:40,,0,7,,,,,,66,14000,14000,6571,3680,2891
4,#98RVVLLV8,unknown,2026-08-08 10:52:35,,0,6,,,,,,64,14000,14000,10586,5284,5302
4,#9C9R8G09Y,Trafalgar D Law,2026-08-08 10:52:49,,1571,7,,,,,,67,14000,14000,11582,6235,5347
4,#9CUPC89C2,i umarł...,2026-08-08 10:52:36,,0,7,,,,,,79,14000,14000,26017,12828,13189
4,#C8RVQ0CCU,B0C,2026-08-08 10:52:43,,1892,10,,,,,"[{""name"": ""ClassicRoyaleTournamentCompletion"", ""level"": 1, ""progress"": 1, ""target"": 2}]",77,14000,14000,8117,5311,2806
4,#CJ9LQG9CV,ÆESAUÆ,2026-08-08 10:52:29,,1711,10,,,,,,79,14000,14000,11288,6581,4707
4,#GL0CRVRCY,Ramon19King,2026-08-08 10:52:38,,0,8,,,,,,65,14000,14000,9712,5388,4324
4,#GQ0YQJQJ,MissAndrea,2026-08-08 10:52:34,6213,2287,7,,,,,"[{""name"": ""RoyalTournamentCompletion"", ""level"": 1, ""progress"": 1, ""target"": 2}]",76,13072,13134,30340,18694,11646
4,#GVVPYULQP,FierrosX,2026-08-08 10:52:47,,1894,7,,,,,,85,14000,14000,18529,10689,7840
4,#J2RPQVLGG,i87df,2026-08-08 10:52:47,,0,7,,,,,,75,13169,13388,7244,4183,3061
,#JVVPYGPCC,Kinoking,2026-08-08 10:11:03,,0,8,,,,,,78,13978,13978,,,
4,#P0GUC920,Sentimental,2026-08-08 10:52:44,,2046,10,,,,,,84,14000,14000,23299,12744,10555
4,#PGVC0V0J,Darkness,2026-08-08 10:52:39,,0,6,,,,,,63,14000,14000,13199,6678,6521
4,#PP88C9CRR,Der_200iq_king,2026-08-08 10:52:37,,0,8,,,,,,64,14000,14000,6275,3550,2725
4,#QQQQP0C0P,Ihsanullah BD,2026-08-08 10:52:49,,1600,10,,,,,,83,14000,14000,27599,14048,13551
4,#R0CCURUC,N!G,2026-08-08 10:52:44,,0,9,,,,,,81,14000,14000,68182,33954,34228
4,#R0VQCV9RP,Di1ctator,2026-08-08 10:52:48,,0,5,,,,,,65,14000,14000,7093,3783,3310
4,#R9PLU90LP,VezTrevor,2026-08-08 10:52:46,,1476,10,,,,,,73,11680,11706,13214,7040,6174
4,#RL2YJJ22,ClashofCash,2026-08-08 10:52:50,,1663,10,,,,,,73,14000,14000,13812,7556,6256
4,#UGQYR829P,churqui23,2026-08-08 10:52:36,,0,5,,,,,,67,14000,14000,9915,5108,4807
4,#ULR0JLQGC,Rg4veterano,2026-08-08 10:52:29,,1727,7,,,,,,76,13674,13703,19669,10780,8889
4,#V00LPJ2JR,agutimm,2026-08-08 10:52:41,,0,6,,,,,,65,14000,14000,5667,3049,2618
4,#V9QV89JJG,Axiom,2026-08-08 10:52:31,,0,5,,,,,,58,14000,14000,6835,3481,3354
4,#VC0P8LJ0,mari,2026-08-08 10:52:32,,1568,7,,,,,,81,14000,14000,95933,42434,53499
4,#VLCY92YG,AsianCarlos,2026-08-08 10:52:33,,1801,7,,,,,,78,14000,14000,20671,11269,9402
4,#VLUQJY20J,Clasher,2026-08-08 10:52:42,,0,5,,,,,,63,14000,14000,8866,4808,4058
